1.jpg 1814FHL 1814FHL 7 True 99.94702857142858 Si 1 0.999874 8 1.0 1 0.996418 4 1.0 F 1.0 H 1.0 L 1.0 50.069008350372314
2.jpg 4027GPF 4027GPF 7 True 99.99985714285714 Si 4 0.999991 0 1.0 2 1.0 7 1.0 G 1.0 P 1.0 F 0.999999 50.08259081840515
3.jpg 9507J7CR 9507CCR 8 False 98.1751625 Si 9 1.0 5 0.990775 0 1.0 7 1.0 J 0.999421 7 0.863819 C 1.0 R 0.999998 57.16129493713379
4.jpg 3972KWC 3972KWC 7 True 99.99858571428571 Si 3 0.999997 9 1.0 7 1.0 2 1.0 K 0.999904 W 1.0 C 1.0 50.06026101112366
5.jpg 3671J0C 3671JDC 7 True 98.2576857142857 Si 3 0.999901 6 0.999589 7 1.0 1 0.992042 J 1.0 0 0.886506 C 1.0 50.10213232040405
6.jpg 6S94KVZ 6594KVZ 7 False 98.49042857142857 Si 6 0.911051 S 0.999358 9 1.0 4 1.0 K 0.992128 V 0.991793 Z 1.0 50.07408308982849
7.jpg 1296BZL 1296BZL 7 True 97.04100000000001 Si 1 0.995651 2 1.0 9 1.0 6 0.99977 B 0.79749 Z 1.0 L 0.999959 50.090821266174316
8.jpg 7819HBM 7819HBM 7 True 94.7187857142857 Si 7 1.0 8 1.0 1 0.731781 9 1.0 H 1.0 B 0.898534 M 1.0 50.040051221847534
9.jpg 3843GHJ 3843GHJ 7 True 99.96031428571429 Si 3 0.998106 8 1.0 4 1.0 3 0.999119 G 1.0 H 1.0 J 0.999997 50.052807331085205
10.jpg 0S08KVJL 0508KVJ 7 False 94.4868875 Si 0 1.0 S 0.872325 0 1.0 8 1.0 K 0.912199 V 0.999698 J 0.999999 L 0.77473 164.6771330833435
11.jpg 4802DFP 4802DFP 7 True 93.50738571428572 Si 4 1.0 8 1.0 0 1.0 2 1.0 D 0.545517 F 1.0 P 1.0 100.17358922958374
12.jpg S49SJGG 5495JGG 7 False 94.55235714285715 Si S 0.847444 4 1.0 9 1.0 S 0.771221 J 1.0 G 1.0 G 1.0 100.1899631023407
13.jpg 4547CFN 4547CFN 7 True 94.80424285714285 Si 4 1.0 5 0.636913 4 1.0 7 1.0 C 1.0 F 1.0 N 0.999384 50.066338300704956
14.jpg 7183GCM 1183GCW 7 True 92.3768 Si 7 0.94226 1 0.84884 8 1.0 3 0.999986 G 1.0 C 1.0 M 0.67529 50.0838189125061
15.jpg 6116GZG 6116GZG 7 True 98.79175714285715 Si 6 0.999982 1 0.919239 1 0.996326 6 0.999876 G 1.0 Z 1.0 G 1.0 50.0789098739624
16.jpg 3923JCK 3963JCK 7 True 93.48455714285716 Si 3 0.99989 9 1.0 2 0.544031 3 0.999998 J 1.0 C 1.0 K 1.0 50.100552558898926
17.jpg 7616GF0 7616GFD 7 True 99.92185714285714 Si 7 1.0 6 0.99972 1 0.99764 6 0.999856 G 1.0 F 1.0 0 0.997314 50.05555248260498
18.jpg 8423LGI 8423LGZ 7 True 96.72265714285714 Si 8 1.0 4 1.0 2 1.0 3 0.999993 L 1.0 G 1.0 I 0.770593 50.0420126914978
19.jpg 7747DZD 7747DZD 7 True 97.39284285714285 Si 7 1.0 7 1.0 4 1.0 7 1.0 D 0.875163 Z 0.999999 D 0.942337 100.18269276618958
20.jpg 91S3GRY 9193GRY 7 False 99.91041428571428 Si 9 1.0 1 0.99971 S 0.994026 3 0.999993 G 1.0 R 1.0 Y 1.0 50.071837186813354
21.jpg 3L39CSX 3539DSX 7 False 97.28378571428571 Si 3 0.999933 L 0.987132 3 1.0 9 1.0 C 0.82323 S 0.999964 X 0.999606 50.09923791885376
22.jpg 7770KDJ 7770KDJ 7 True 97.42617142857142 Si 7 1.0 7 1.0 7 1.0 0 1.0 K 0.999987 D 0.819845 J 1.0 50.0989305973053
23.jpg 8467FDM 8461FDM 7 True 97.66659999999999 Si 8 1.0 4 1.0 6 0.999786 7 0.913217 F 0.999981 D 0.923678 M 1.0 50.06847929954529
24.jpg 22452LSZ 2452LSZ 8 False 98.4525 Si 2 0.965318 2 1.0 4 0.999988 5 0.910913 2 1.0 L 0.999986 S 0.999995 Z 1.0 57.58856678009033
25.jpg 0WI50HZ 0450HZB 7 False 96.2944 Si 0 0.999997 W 0.999823 I 0.998995 5 0.741793 0 1.0 H 1.0 Z 1.0 49.60375690460205
26.jpg 77C7LMT 7347LMT 7 False 94.04012857142857 Si 7 1.0 7 0.995468 C 0.587568 7 1.0 L 0.999773 M 1.0 T 1.0 49.47517251968384
27.jpg BA2044W BA2044W 7 True 99.82140000000001 Si B 0.987714 A 0.999989 2 0.999997 0 1.0 4 1.0 4 1.0 W 0.999798 49.48841977119446
28.jpg  1984HWG  False  Si
29.jpg I9267GP6 9267GPK 8 False 96.1005 Si I 0.928058 9 0.997829 2 0.999964 6 1.0 7 0.77076 G 0.999996 P 0.999528 6 0.991905 57.64641857147217
30.jpg 8LS394N BA5394W 7 False 82.59617142857142 Si 8 0.585986 L 0.570289 S 0.955643 3 0.999537 9 1.0 4 0.999998 N 0.670279 49.58514952659607
31.jpg 7445JFJ 2445JFJ 7 True 99.42071428571427 Si 7 0.991044 4 0.999977 4 0.999941 5 0.97019 J 0.999998 F 0.998302 J 0.999998 50.42050886154175
32.jpg 7843HKP 7843HKP 7 True 97.43868571428571 Si 7 1.0 8 1.0 4 0.999992 3 0.999933 H 1.0 K 0.820783 P 1.0 99.6715476512909
33.jpg S266HGH 5266HGR 7 False 99.95094285714286 Si S 0.999899 2 1.0 6 0.999979 6 0.999602 H 1.0 G 1.0 H 0.997086 100.56966924667358
34.jpg  M7848ZU  False  Si
35.jpg 76S4JHL 2652JHD 7 False 99.93175714285714 Si 7 0.999969 6 1.0 S 0.999949 4 0.995307 J 1.0 H 1.0 L 0.999998 49.733216762542725
36.jpg 7073HPP1 7013HPP 8 False 97.9657375 Si 7 1.0 0 0.999929 7 0.978509 3 0.999545 H 1.0 P 1.0 P 1.0 1 0.859276 56.66875958442688
37.jpg  4072JHT  False  Si
