1.jpg 1814FHL 1814FHL 7 True 100.0 Si 1 1.0 8 1.0 1 1.0 4 1.0 F 1.0 H 1.0 L 1.0 49.93740200996399
2.jpg 4027GPF 4027GPF 7 True 100.0 Si 4 1.0 0 1.0 2 1.0 7 1.0 G 1.0 P 1.0 F 1.0 49.95615243911743
3.jpg 9507CCR 9507CCR 7 True 100.0 Si 9 1.0 5 1.0 0 1.0 7 1.0 C 1.0 C 1.0 R 1.0 49.963589906692505
4.jpg 3972KVC 3972KWC 7 True 99.87705714285714 Si 3 1.0 9 1.0 7 1.0 2 1.0 K 1.0 V 0.991394 C 1.0 49.92723321914673
5.jpg 3671JDC 3671JDC 7 True 95.87731428571429 Si 3 1.0 6 1.0 7 1.0 1 1.0 J 1.0 D 0.711412 C 1.0 49.948572874069214
6.jpg 6S94KVZ 6594KVZ 7 False 100.0 Si 6 1.0 S 1.0 9 1.0 4 1.0 K 1.0 V 1.0 Z 1.0 49.9292426109314
7.jpg 1296BZL 1296BZL 7 True 100.0 Si 1 1.0 2 1.0 9 1.0 6 1.0 B 1.0 Z 1.0 L 1.0 49.93294024467468
8.jpg 7819HBM 7819HBM 7 True 100.0 Si 7 1.0 8 1.0 1 1.0 9 1.0 H 1.0 B 1.0 M 1.0 49.97133827209473
9.jpg 3843GHJ 3843GHJ 7 True 100.0 Si 3 1.0 8 1.0 4 1.0 3 1.0 G 1.0 H 1.0 J 1.0 49.945353746414185
10.jpg 0S08KVJ1 0508KVJ 8 False 100.0 Si 0 1.0 S 1.0 0 1.0 8 1.0 K 1.0 V 1.0 J 1.0 1 1.0 164.28868055343628
11.jpg 4802DFP 4802DFP 7 True 97.61662857142858 Si 4 1.0 8 1.0 0 1.0 2 1.0 D 0.833164 F 1.0 P 1.0 99.98073506355286
12.jpg 5495JGG 5495JGG 7 True 98.78912857142856 Si 5 0.941829 4 1.0 9 1.0 5 0.97341 J 1.0 G 1.0 G 1.0 49.942744731903076
13.jpg 4S47CFN 4547CFN 7 False 99.99931428571429 Si 4 1.0 S 0.999952 4 1.0 7 1.0 C 1.0 F 1.0 N 1.0 49.9592490196228
14.jpg 1183GCM 1183GCW 7 True 93.14768571428571 Si 1 0.520338 1 1.0 8 1.0 3 1.0 G 1.0 C 1.0 M 1.0 49.913569688797
15.jpg 6116GZG 6116GZG 7 True 100.0 Si 6 1.0 1 1.0 1 1.0 6 1.0 G 1.0 Z 1.0 G 1.0 49.93014907836914
16.jpg 3963JCK 3963JCK 7 True 100.0 Si 3 1.0 9 1.0 6 1.0 3 1.0 J 1.0 C 1.0 K 1.0 49.94797468185425
17.jpg 7616GF0 7616GFD 7 True 99.99245714285713 Si 7 1.0 6 1.0 1 1.0 6 1.0 G 1.0 F 1.0 0 0.999472 49.937355279922485
18.jpg 8423LG2 8423LGZ 7 False 99.99551428571428 Si 8 1.0 4 1.0 2 1.0 3 1.0 L 1.0 G 1.0 2 0.999686 49.93572020530701
19.jpg 77470Z0 7747DZD 7 True 99.92151428571428 Si 7 1.0 7 1.0 4 1.0 7 1.0 0 0.994629 Z 1.0 0 0.999877 49.93787717819214
20.jpg 91S3GRY 9193GRY 7 False 100.0 Si 9 1.0 1 1.0 S 1.0 3 1.0 G 1.0 R 1.0 Y 1.0 49.92795753479004
21.jpg 3S39DSX 3539DSX 7 False 100.0 Si 3 1.0 S 1.0 3 1.0 9 1.0 D 1.0 S 1.0 X 1.0 49.94128727912903
22.jpg 7770KDJ 7770KDJ 7 True 99.99994285714287 Si 7 1.0 7 1.0 7 1.0 0 1.0 K 1.0 D 0.999996 J 1.0 49.93919014930725
23.jpg 8461F0M 8461FDM 7 True 98.99731428571428 Si 8 1.0 4 1.0 6 1.0 1 1.0 F 1.0 0 0.929812 M 1.0 49.94985795021057
24.jpg 824S2LSZ 2452LSZ 8 False 99.9999875 Si 8 1.0 2 1.0 4 1.0 S 0.999999 2 1.0 L 1.0 S 1.0 Z 1.0 56.8628888130188
25.jpg 0WI50HZ 0450HZB 7 False 100.0 Si 0 1.0 W 1.0 I 1.0 5 1.0 0 1.0 H 1.0 Z 1.0 49.68674397468567
